Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,
ICBC,311.014,165.338,43.6694,4210.927,1,Financials,Major Banks,Asia,China,China,,Hui Yi,http://www.forbes.com/companies/icbc/,0.010370496,0.26412198,
China Construction Bank,261.166,143.202,37.2031,3631.583,2,Financials,Major Banks,Asia,China,China,,Guo Tian,http://www.forbes.com/companies/china-construction-bank/,0.01024432,0.259794556,
JPMorgan Chase,387.668,118.18,26.496,2609.785,3,Financials,Major Banks,North America,United States,New York,New York,Jamie Dimon,http://www.forbes.com/companies/jpmorgan-chase/,0.01015256,0.224200372,
Berkshire Hathaway,491.888,235.165,39.742,702.651,4,Financials,Investment Services,North America,United States,Nebraska,Nebraska,Warren Buffett,http://www.forbes.com/companies/berkshire-hathaway/,0.056560085,0.168996237,
Agricultural Bank of China,184.125,129.345,29.6387,3439.314,5,Financials,Regional Banks,Asia,China,China,,Mu Zhou,http://www.forbes.com/companies/agricultural-bank-of-china/,0.00861762,0.229144536,
Bank of America,313.51,102.978,20.294,2328.478,6,Financials,Major Banks,North America,United States,North Carolina,North Carolina,Brian Moynihan,http://www.forbes.com/companies/bank-of-america/,0.008715564,0.197071219,
Wells Fargo,265.328,102.063,21.693,1915.388,7,Financials,Major Banks,North America,United States,California,California,Timothy Sloan,http://www.forbes.com/companies/wells-fargo/,0.011325643,0.212545193,
Apple,926.946,247.535,53.318,367.502,8,Information Technology,Computer Hardware,North America,United States,California,California,Tim Cook,http://www.forbes.com/companies/apple/,0.145082204,0.215395803,
Bank of China,158.628,118.15,26.3535,3204.207,9,Financials,Major Banks,Asia,China,China,,Si Chen,http://www.forbes.com/companies/bank-of-china/,0.008224656,0.223051206,
Ping An Insurance Group,181.411,141.623,13.8884,1066.373,10,Financials,Diversified Insurance,Asia,China,China,,Ming Ma,http://www.forbes.com/companies/ping-an-insurance/,0.013023961,0.098065992,
Royal Dutch Shell,306.459,321.766,15.159,410.719,11,Energy,Oil & Gas Operations,Europe,Netherlands,Netherlands,,Bernardus Margriet van Beurden,http://www.forbes.com/companies/royal-dutch-shell/,0.036908446,0.047111876,
Toyota Motor,200.682,265.165,22.5022,473.044,12,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,Japan,,Takeshi Uchiyamada,http://www.forbes.com/companies/toyota-motor/,0.047568937,0.084861124,
ExxonMobil,344.126,230.055,20.35,348.826,13,Energy,Oil & Gas Operations,North America,United States,Texas,Texas,Darren Woods,http://www.forbes.com/companies/exxon-mobil/,0.058338541,0.088457108,
Samsung Electronics,325.865,224.644,40.9941,293.154,14,Information Technology,Semiconductors,Asia,South Korea,South Korea,,Hyun-Suk Kim,http://www.forbes.com/companies/samsung-electronics/,0.139838106,0.182484731,
AT&T,198.293,159.219,30.643,446.343,15,Telecommunication Services,Telecommunications services,North America,United States,Texas,Texas,Randall Stephenson,http://www.forbes.com/companies/att/,0.068653479,0.192458187,
Volkswagen Group,101.428,271.951,13.1235,531.393,16,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,,Dongjin Koh,http://www.forbes.com/companies/volkswagen-group/,0.024696411,0.048256855,
HSBC Holdings,200.293,63.169,10.7503,2652.123,17,Financials,Major Banks,Europe,United Kingdom,United Kingdom,,John Flint,http://www.forbes.com/companies/hsbc-holdings/,0.00405347,0.170183159,
Verizon Communications,200.893,127.992,31.196,264.516,18,Telecommunication Services,Telecommunications services,North America,United States,New York,New York,Lowell McAdam,http://www.forbes.com/companies/verizon-communications/,0.117936155,0.243733983,
BNP Paribas,93.581,117.774,8.5012,2353.87,19,Financials,Major Banks,Europe,France,France,,Jean-Laurent Bonnafé,http://www.forbes.com/companies/bnp-paribas/,0.003611584,0.072182315,
Microsoft,750.649,103.313,14.211,245.497,20,Information Technology,Software & Programming,North America,United States,Washington,Washington,Satya Nadella,http://www.forbes.com/companies/microsoft/,0.057886654,0.137552873,
Chevron,248.119,139.397,10.151,256.442,21,Energy,Oil & Gas Operations,North America,United States,California,California,Michael Wirth,http://www.forbes.com/companies/chevron/,0.039584,0.072820792,
Allianz,100.405,122.549,7.6733,1128.585,22,Financials,Diversified Insurance,Europe,Germany,Germany,,Oliver Bäte,http://www.forbes.com/companies/allianz/,0.006799045,0.062614138,
Alphabet,766.35,117.884,16.637,206.935,23,Information Technology,Computer Services,North America,United States,California,California,Lawrence Page,http://www.forbes.com/companies/alphabet/,0.080397226,0.141130264,
Walmart,246.178,500.343,9.862,204.522,24,Consumer Discretionary,Discount Stores,North America,United States,Arkansas,Arkansas,C. McMillon,http://www.forbes.com/companies/walmart/,0.048219751,0.019710479,
